文件名:			fe7tlp.gba
查找值:			ff
查找大小:		100
0000:008F1952-008F1A13	size:000000C1   0.19KB
0001:0095897B-009589E0	size:00000065   0.10KB
0002:00959F29-00959FD8	size:000000AF   0.17KB
0003:0095D738-0095D79D	size:00000065   0.10KB
0004:0095ECCD-0095EDA0	size:000000D3   0.21KB
0005:00973D42-00973DB4	size:00000072   0.11KB
0006:0098DD08-0098DDB3	size:000000AB   0.17KB
0007:009FB384-009FB409	size:00000085   0.13KB
0008:01029FFC-0102A218	size:0000021C   0.53KB
0009:0102A22C-0102B3E8	size:000011BC   4.43KB
0010:012534C4-01253938	size:00000474   1.11KB
0011:0125394C-012548B0	size:00000F64   3.85KB
0012:016BFDC9-016BFE56	size:0000008D   0.14KB
0013:01711A41-01711AF4	size:000000B3   0.17KB
0014:01711AF5-01711B5C	size:00000067   0.10KB
0015:01716E97-01716F4C	size:000000B5   0.18KB
0016:0193A875-0193A8FF	size:0000008A   0.13KB
0017:0193AF05-0193AF9D	size:00000098   0.15KB
0018:0193B73F-0193B7BF	size:00000080   0.13KB
0019:0193BE5B-0193BF22	size:000000C7   0.19KB
0020:0193C81F-0193C88E	size:0000006F   0.11KB
0021:0193E787-0193E7EC	size:00000065   0.10KB
0022:0193F024-0193F0A8	size:00000084   0.13KB
0023:0193F6AC-0193F713	size:00000067   0.10KB
0024:0193F7D6-0193F847	size:00000071   0.11KB
0025:0194066B-019406EF	size:00000084   0.13KB
0026:01A80AD0-01A80B63	size:00000093   0.14KB
0027:01A82716-01A827A3	size:0000008D   0.14KB
0028:01A82810-01A828CD	size:000000BD   0.18KB
0029:01A84B84-01A84C2D	size:000000A9   0.17KB
0030:01A853DC-01A85455	size:00000079   0.12KB
0031:01A8DAF8-01A8DB5E	size:00000066   0.10KB
0032:01A8E6A0-01A8E719	size:00000079   0.12KB
0033:01B44B95-01B44C09	size:00000074   0.11KB
